gauge_id,slope_mean,p_mean,aridity,gauge_name,pet_mean,high_prec_dur,silt_frac,area_gages2,frac_snow,high_prec_freq,low_prec_dur,sand_frac,elev_mean,clay_frac,low_prec_freq
CAMELS_UY_10,12.72590723834544,3.915340177960301,0.717773086502974,Paso Mazangano,2.8103258042436687,1.2038461538461538,23.70679055007477,6530.808541,0.0,0.064271047227926,4.354260089686099,46.01511003181723,169.30758165659205,30.243463876285464,0.6646132785763176
CAMELS_UY_7,15.56120124021164,3.9708555783709785,0.7163613391204223,Paso de Coelho,2.8445674195756334,1.221794871794872,24.61138249767044,2419.341041,0.0,0.0652292950034223,4.570571955719557,46.16776592952044,175.07300675138563,29.245497855578705,0.6782340862422997
CAMELS_UY_12,19.23404234655376,3.411160164271048,0.7879330738878002,Sarandi del Yi,2.6877659137577,1.213032581453634,22.247985531753244,1381.247863,0.0,0.0662559890485968,4.813197026022305,51.963861645138174,198.93263950008617,25.76785341665684,0.7089664613278577
CAMELS_UY_8,14.357645857092836,3.922811088295688,0.7126037757708776,Paso de las Toscas,2.7954099931553733,1.232258064516129,22.190910748224688,970.9329836,0.0,0.0653661875427789,4.561787505699955,47.650490232091606,151.68299153358078,29.976672796415222,0.6847364818617385
CAMELS_UY_15,12.119888696749758,3.6600622861054073,0.8178193277381643,Paso de las Piedras (R3),2.993269678302533,1.2345360824742269,25.83748801187126,791.650467,0.0,0.0655715263518138,5.027246653919694,43.81493143630001,79.27904057681104,30.75811554145924,0.7198494182067078
CAMELS_UY_6,24.31365953518588,3.961108145106092,0.7396339390919134,Paso del Borracho,2.929770020533881,1.2183006535947711,23.66768037273477,6601.754962,0.0,0.0637919233401779,4.59953596287703,49.20399789262712,184.5018047827321,27.180635949814988,0.6784394250513347
CAMELS_UY_16,11.89080586133012,3.325952772073922,0.8842482235306635,Bequelo,2.940967830253251,1.2267365661861074,21.98847659852913,1141.147308,0.0,0.0640657084188911,4.965100046533271,43.48271909673288,71.72808271402307,34.17761790240175,0.730321697467488
CAMELS_UY_2,19.613217980525583,3.977115674195757,0.7434241345851677,Paso de las Piedras,2.956683778234086,1.2300531914893618,21.97503746689245,1923.08403,0.0,0.0633127994524298,4.589541878759833,52.354705521348656,185.27367864416848,25.54709458514328,0.6788501026694045
CAMELS_UY_5,34.10858898887869,3.888606433949349,0.7568098521910832,Paso Baltasar,2.9429356605065022,1.2225130890052356,21.72123397217683,917.6095886,0.0,0.0639288158795345,4.763875823142051,52.807840440383615,198.01700648102167,25.77910450532807,0.6932238193018481
CAMELS_UY_11,26.62019610966424,3.7072313483915127,0.7259938352351667,Fraile Muerto,2.6914271047227927,1.237265415549598,23.99716482017157,314.411261,0.0,0.0631759069130732,4.468008948545862,47.02597469197821,212.24536662200805,29.516960977029147,0.683504449007529
CAMELS_UY_14,16.970604825415155,3.661789869952088,0.8118344821140682,Paso de los Mellizos,2.972767282683094,1.2438709677419355,26.58184884217092,2196.82399,0.0,0.0659822039698836,4.968140751307656,41.74430535480004,92.51240546306838,31.77120657780093,0.7151266255989048
CAMELS_UY_3,37.25444031358755,4.062472963723477,0.7291063106953969,Paso Manuel Diaz,2.961974674880219,1.2265415549597856,24.091182362891416,2212.331158,0.0,0.0626283367556468,4.617455896007428,48.99335242609543,214.94434209806133,26.954383712042297,0.680766598220397
CAMELS_UY_9,12.309230863508557,3.897213552361397,0.7187553402113058,Paso Aguiar,2.8011430527036274,1.2115384615384617,23.51005998536721,8044.566285,0.0,0.0646817248459959,4.3797925124041495,46.25493026014301,161.73292912740536,30.245864166699345,0.6646132785763176
CAMELS_UY_1,14.874895188487772,3.928955509924709,0.7278553166403146,Paso de la Compania,2.859711156741957,1.2202072538860105,23.072536963555656,1044.805388,0.0,0.0644763860369609,4.6016559337626495,46.68886217891275,170.94694164763263,30.421807686476445,0.6847364818617385
CAMELS_UY_4,29.31236997792924,3.840577002053388,0.7554509530513094,Tacuarembo,2.901367556468173,1.2315653298835705,21.2719492911683,673.2861396,0.0,0.065160848733744,4.785747773089545,51.92252936893436,201.2318214442644,26.804885005960312,0.6986995208761122
CAMELS_UY_13,14.38830821379156,3.374954825462012,0.808500795711211,Durazno,2.728653661875428,1.2118537200504411,21.11025304690471,8881.479722,0.0,0.0657768651608487,4.778962001853568,51.22594595750364,147.54420943916145,27.650172258856124,0.705886379192334
