gauge_id,silt_frac,high_prec_freq,p_mean,aridity,frac_snow,sand_frac,area_gages2,low_prec_freq,pet_mean,elev_mean,slope_mean,clay_frac,low_prec_dur,high_prec_dur,gauge_name
CAMELS_UY_10,23.70679055007477,0.064271047227926,3.915340177960301,0.717773086502974,0.0,46.01511003181723,6530.808541,0.6646132785763176,2.8103258042436687,169.30758165659205,12.72590723834544,30.243463876285464,4.354260089686099,1.2038461538461538,Paso Mazangano
CAMELS_UY_7,24.61138249767044,0.0652292950034223,3.9708555783709785,0.7163613391204223,0.0,46.16776592952044,2419.341041,0.6782340862422997,2.8445674195756334,175.07300675138563,15.56120124021164,29.245497855578705,4.570571955719557,1.221794871794872,Paso de Coelho
CAMELS_UY_12,22.247985531753244,0.0662559890485968,3.411160164271048,0.7879330738878002,0.0,51.963861645138174,1381.247863,0.7089664613278577,2.6877659137577,198.93263950008617,19.23404234655376,25.76785341665684,4.813197026022305,1.213032581453634,Sarandi del Yi
CAMELS_UY_8,22.190910748224688,0.0653661875427789,3.922811088295688,0.7126037757708776,0.0,47.650490232091606,970.9329836,0.6847364818617385,2.7954099931553733,151.68299153358078,14.357645857092836,29.976672796415222,4.561787505699955,1.232258064516129,Paso de las Toscas
CAMELS_UY_15,25.83748801187126,0.0655715263518138,3.6600622861054073,0.8178193277381643,0.0,43.81493143630001,791.650467,0.7198494182067078,2.993269678302533,79.27904057681104,12.119888696749758,30.75811554145924,5.027246653919694,1.2345360824742269,Paso de las Piedras (R3)
CAMELS_UY_6,23.66768037273477,0.0637919233401779,3.961108145106092,0.7396339390919134,0.0,49.20399789262712,6601.754962,0.6784394250513347,2.929770020533881,184.5018047827321,24.31365953518588,27.180635949814988,4.59953596287703,1.2183006535947711,Paso del Borracho
CAMELS_UY_16,21.98847659852913,0.0640657084188911,3.325952772073922,0.8842482235306635,0.0,43.48271909673288,1141.147308,0.730321697467488,2.940967830253251,71.72808271402307,11.89080586133012,34.17761790240175,4.965100046533271,1.2267365661861074,Bequelo
CAMELS_UY_2,21.97503746689245,0.0633127994524298,3.977115674195757,0.7434241345851677,0.0,52.354705521348656,1923.08403,0.6788501026694045,2.956683778234086,185.27367864416848,19.613217980525583,25.54709458514328,4.589541878759833,1.2300531914893618,Paso de las Piedras
CAMELS_UY_5,21.72123397217683,0.0639288158795345,3.888606433949349,0.7568098521910832,0.0,52.807840440383615,917.6095886,0.6932238193018481,2.9429356605065022,198.01700648102167,34.10858898887869,25.77910450532807,4.763875823142051,1.2225130890052356,Paso Baltasar
CAMELS_UY_11,23.99716482017157,0.0631759069130732,3.7072313483915127,0.7259938352351667,0.0,47.02597469197821,314.411261,0.683504449007529,2.6914271047227927,212.24536662200805,26.62019610966424,29.516960977029147,4.468008948545862,1.237265415549598,Fraile Muerto
CAMELS_UY_14,26.58184884217092,0.0659822039698836,3.661789869952088,0.8118344821140682,0.0,41.74430535480004,2196.82399,0.7151266255989048,2.972767282683094,92.51240546306838,16.970604825415155,31.77120657780093,4.968140751307656,1.2438709677419355,Paso de los Mellizos
CAMELS_UY_3,24.091182362891416,0.0626283367556468,4.062472963723477,0.7291063106953969,0.0,48.99335242609543,2212.331158,0.680766598220397,2.961974674880219,214.94434209806133,37.25444031358755,26.954383712042297,4.617455896007428,1.2265415549597856,Paso Manuel Diaz
CAMELS_UY_9,23.51005998536721,0.0646817248459959,3.897213552361397,0.7187553402113058,0.0,46.25493026014301,8044.566285,0.6646132785763176,2.8011430527036274,161.73292912740536,12.309230863508557,30.245864166699345,4.3797925124041495,1.2115384615384617,Paso Aguiar
