basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,-0.09524261951446533,1.2453892548957202,1.5509943962097168,1.4588913917541504
CAMELS_UY_11,0.15878164768218994,1.4566590189060133,2.1218554973602295,1.305923342704773
CAMELS_UY_15,0.3228148818016052,1.6266855154873627,2.6461057662963867,1.2663984298706055
CAMELS_UY_16,0.11086702346801758,2.68376325713296,7.202585220336914,1.1833664178848267
CAMELS_UY_2,0.3510528802871704,1.9962380911341089,3.984966516494751,1.1831600666046143
CAMELS_UY_3,0.37860107421875,2.422015475229206,5.866158962249756,1.0949496030807495
CAMELS_UY_5,0.43686139583587646,3.4966388639709045,12.226483345031738,1.1750973463058472
CAMELS_UY_6,0.45224738121032715,2.2972145089149776,5.277194499969482,1.1400201320648193
CAMELS_UY_7,0.18187105655670166,3.8046707058953015,14.475519180297852,1.336246132850647
CAMELS_UY_8,0.2661176919937134,3.3861648124154886,11.46611213684082,1.515184760093689
CAMELS_UY_9,0.4827677011489868,1.6681143989669207,2.7826056480407715,1.1399641036987305
