file,NSE,RMSE,MSE,Beta-KGE
prcp_chirps_mm_day_prcp_mswep_mm_day,0.6945561170578003,1.5195197176066635,2.3089401721954346,1.1763230562210083
prcp_mm_day_prcp_mswep_mm_day,0.5691837668418884,1.9216109303742432,3.6925885677337646,1.4569560289382937
prcp_mswep_mm_day,0.6430532932281494,1.634613649876567,2.671961784362793,1.2192519903182983
prcp_mm_day_prcp_mswep_mm_day_prcp_gauge_mm_day,0.6533745527267456,1.60398658963731,2.572772979736328,1.283294439315796
prcp_chirps_mm_day_prcp_mswep_mm_day_prcp_gauge_mm_day,0.7032342553138733,1.442209159713222,2.0799672603607178,1.1637166738510132
prcp_mm_day,0.3151964545249939,2.348864760018796,5.517165660858154,1.2744959592819214
prcp_mm_day_prcp_gauge_mm_day,0.5440031290054321,1.3433040056190355,1.804465651512146,1.1219582557678225
prcp_mm_day_prcp_chirps_mm_day_prcp_mswep_mm_day_prcp_gauge_mm_day,0.7029841542243958,1.4646131817239212,2.145091772079468,1.1385037899017334
prcp_mswep_mm_day_prcp_gauge_mm_day,0.6101561784744263,1.5670511720794338,2.455649375915528,1.24559485912323
prcp_chirps_mm_day,0.6159870028495789,1.4855881401628053,2.206972122192383,0.9793148040771484
prcp_mm_day_prcp_chirps_mm_day,0.6097100973129272,1.4606523694537552,2.133505344390869,1.0700074434280396
prcp_mm_day_prcp_chirps_mm_day_prcp_gauge_mm_day,0.6926571130752563,1.3274774655801995,1.76219642162323,1.1194040775299072
prcp_mm_day_prcp_chirps_mm_day_prcp_mswep_mm_day,0.6795690059661865,1.6621872629279153,2.762866497039795,1.190963625907898
prcp_chirps_mm_day_prcp_gauge_mm_day,0.6834887266159058,1.361174959298461,1.852797269821167,1.03658127784729
prcp_gauge_mm_day,0.6086268424987793,1.2764810337700223,1.629403829574585,1.014898419380188
